epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1746.69,1.54522,0.89694,1.01038,0.70419,0.52062,0.55684,0.2659,1.72697,0.86325,1.09816,0.000742815,0.000742815,0.000742815
58,1777.2,1.54754,0.88426,1.00592,0.71363,0.52712,0.56227,0.26631,1.69642,0.88343,1.09835,0.000726312,0.000726312,0.000726312
59,1807.41,1.51961,0.86878,1.00122,0.69058,0.52489,0.56294,0.26673,1.69017,0.87037,1.09334,0.000709809,0.000709809,0.000709809
60,1837.87,1.53435,0.87163,1.00942,0.70491,0.53428,0.56529,0.26686,1.67961,0.84676,1.08803,0.000693305,0.000693305,0.000693305
61,1868.6,1.52989,0.87356,1.00478,0.75267,0.51103,0.5644,0.2684,1.67289,0.86009,1.08884,0.000676802,0.000676802,0.000676802
62,1899.14,1.53286,0.86995,1.0061,0.73227,0.51631,0.56388,0.27067,1.68072,0.87944,1.08993,0.000660299,0.000660299,0.000660299
63,1929.49,1.51249,0.86953,1.00092,0.7076,0.52936,0.56918,0.26807,1.6753,0.85113,1.09818,0.000643795,0.000643795,0.000643795
64,1960.14,1.50394,0.84582,0.9951,0.74666,0.51358,0.56706,0.26883,1.69642,0.8526,1.08741,0.000627292,0.000627292,0.000627292
65,1990.68,1.48494,0.84254,0.99038,0.73255,0.52994,0.57261,0.27283,1.7248,0.86459,1.09799,0.000610789,0.000610789,0.000610789
66,2021.58,1.49458,0.84273,0.99272,0.70287,0.52527,0.56789,0.27198,1.69641,0.84947,1.08697,0.000594286,0.000594286,0.000594286
67,2052.2,1.48617,0.83748,0.99012,0.69826,0.53338,0.57406,0.27067,1.67268,0.85226,1.08877,0.000577782,0.000577782,0.000577782
68,2082.91,1.46749,0.82589,0.98744,0.71049,0.53732,0.57311,0.27335,1.67483,0.85938,1.088,0.000561279,0.000561279,0.000561279
69,2113.63,1.47238,0.8234,0.98541,0.71482,0.54524,0.57909,0.27471,1.65753,0.82261,1.09336,0.000544776,0.000544776,0.000544776
70,2144.46,1.45449,0.82155,0.98422,0.74325,0.52812,0.57762,0.27419,1.67746,0.8397,1.09237,0.000528272,0.000528272,0.000528272
71,2175.09,1.45627,0.81859,0.98233,0.74966,0.53376,0.57924,0.27506,1.68261,0.83776,1.08283,0.000511769,0.000511769,0.000511769
72,2205.89,1.43785,0.80075,0.9765,0.71575,0.54999,0.57788,0.27773,1.67144,0.83994,1.09221,0.000495266,0.000495266,0.000495266
73,2236.75,1.45366,0.80757,0.98049,0.72442,0.53441,0.58097,0.27771,1.66456,0.82921,1.09516,0.000478762,0.000478762,0.000478762
74,2267.48,1.43193,0.80523,0.9702,0.7064,0.53732,0.57414,0.27483,1.69173,0.83911,1.09304,0.000462259,0.000462259,0.000462259
75,2298.08,1.44283,0.79886,0.9733,0.73722,0.52631,0.57692,0.27444,1.67901,0.84653,1.08927,0.000445756,0.000445756,0.000445756
76,2328.68,1.44389,0.80021,0.9821,0.7494,0.55231,0.58613,0.27681,1.6817,0.83881,1.09168,0.000429253,0.000429253,0.000429253
77,2359.46,1.43878,0.80518,0.97644,0.73901,0.53894,0.57826,0.27587,1.67676,0.84541,1.09531,0.000412749,0.000412749,0.000412749
78,2390.16,1.40273,0.77601,0.97271,0.75941,0.52881,0.58127,0.27245,1.6577,0.82775,1.10011,0.000396246,0.000396246,0.000396246
79,2420.73,1.4133,0.7827,0.97408,0.70711,0.54782,0.58179,0.27733,1.66168,0.82957,1.09039,0.000379743,0.000379743,0.000379743
80,2451.08,1.41029,0.77998,0.96829,0.72583,0.55238,0.58751,0.28168,1.66959,0.82677,1.09179,0.000363239,0.000363239,0.000363239
81,2481.31,1.3898,0.77434,0.96373,0.72372,0.54685,0.58443,0.27999,1.65698,0.81898,1.08608,0.000346736,0.000346736,0.000346736
82,2512.03,1.39735,0.77289,0.96367,0.72339,0.54534,0.58324,0.28054,1.68427,0.82467,1.08901,0.000330233,0.000330233,0.000330233
83,2542.78,1.37902,0.76099,0.96305,0.74217,0.5413,0.58535,0.27796,1.6588,0.84104,1.09618,0.000313729,0.000313729,0.000313729
84,2573.37,1.39347,0.76652,0.96519,0.70853,0.5383,0.58273,0.27905,1.70572,0.84063,1.10105,0.000297226,0.000297226,0.000297226
85,2603.94,1.39408,0.76473,0.9618,0.73955,0.53949,0.58138,0.28047,1.65299,0.83053,1.09819,0.000280723,0.000280723,0.000280723
86,2634.45,1.38249,0.75847,0.96213,0.75955,0.53926,0.58807,0.2798,1.67063,0.83251,1.10023,0.00026422,0.00026422,0.00026422
87,2664.93,1.37052,0.75255,0.96024,0.76117,0.53219,0.58453,0.27946,1.65793,0.81666,1.09458,0.000247716,0.000247716,0.000247716
88,2695.61,1.35445,0.74405,0.95448,0.75096,0.533,0.58417,0.27964,1.65659,0.82323,1.08861,0.000231213,0.000231213,0.000231213
89,2726.1,1.36237,0.74326,0.95609,0.74747,0.53574,0.58316,0.27921,1.66252,0.82649,1.09376,0.00021471,0.00021471,0.00021471
90,2756.62,1.34426,0.73467,0.95128,0.74638,0.53553,0.58273,0.28205,1.66952,0.81853,1.09658,0.000198206,0.000198206,0.000198206
